Id,PlayerName,Salary,Age,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TotalMinutes,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary_normalized,Position_encoded,Team_encoded
78,Collin Sexton,16700000,4.137710644618417,5.285266416806648,3.4381104434026533,4.13121697050526,2.033679703428328,2.8595905638285797,0.4222926951877562,0.7304631471189666,1.3782017963726023,0.339837883898188,1.7946539750195776,2.474062026581227,0.4502218755347664,0.45848082840517485,1.6591461440755093,1.8455813191367303,0.6259543683725587,0.6144772743641285,0.9355532237698291,1.270787630434676,1.5098519893959559,0.48696769054824085,0.09599474047211042,1.1133843646427297,1.3075096101012593,3.370530505249363,12.510587913259403,3.5213992606858002,0.49765281690384755,0.23598573262900835,0.36374847497394336,1.6872592197086782,2.3160390089201686,2.055641538058108,3.693768839221828,0.7847978060712121,0.3451079244367938,3.2692775953578295,4.098412175560871,2.0,0.41804907437868577,2.5,0.105,0.1,-1.5,-1.3,0.2,16.630919337267223,2,66
79,Markelle Fultz,16500000,4.137710644618417,5.684506656824126,5.684506656824126,4.470300900417068,2.220945152863065,3.047253001985074,0.42792855757830506,0.41804907437868577,0.9822467037532344,0.27557032357058237,2.1404903073307175,2.8727697059001396,0.44884008939486236,0.4419082518731938,1.1544441718859593,1.3432975971899863,0.604120674599629,0.8369759806258961,1.478055616713875,1.7946539750195776,2.201216472409456,0.9822467037532344,0.3451079244367938,1.3075096101012593,1.270787630434676,3.340760310539712,13.81829394147256,3.5836112618340983,0.46259004660719577,0.12154078100937776,0.19422184890856908,1.918877069266942,2.9497532001225744,2.5071621901826946,4.481189288315092,1.3432975971899863,0.9355532237698291,3.5123337748684422,3.9540658289354957,1.7,1.1943176378757767,3.7,0.1,-0.1,0.7,0.5,1.2,16.61887099947687,2,51
80,Lauri Markkanen,16475454,4.2014612941903655,5.859551208605442,5.859551208605442,4.716398712507379,2.7073236613554315,3.643754462483728,0.41734040198840555,1.5409627556327752,2.5555777652256793,0.338328023812284,2.1812358949226547,2.832918063657205,0.4768675769412791,0.47754343998826326,2.119710123240548,2.2596737867230705,0.6591986786074474,1.1943176378757767,2.388206047001398,2.692763880463827,1.1544441718859593,0.48696769054824085,0.48696769054824085,1.1544441718859593,1.2330769203735719,4.238717933298016,14.586679210783092,4.010365175599477,0.513513109150308,0.3791929328056878,0.3054111350239543,2.3160390089201686,3.910703446193847,3.300269327535053,2.692763880463827,0.6737680590667839,0.9355532237698291,2.721756410725899,4.299254091247412,6.3,1.1544441718859593,8.2,0.173,4.9,-1.0,3.8,3.3,16.617382255573915,1,66
81,Marcus Morris,16372093,4.6477085871174175,5.831327892742091,5.831327892742091,4.38665195926049,1.8704111970686275,2.8727697059001396,0.36448829805374217,1.0710585971090136,1.9887896584596787,0.31776216592662243,1.3782017963726023,2.0986476546769155,0.40666180078039416,0.4272254610541959,0.7304631471189666,0.8871756757156232,0.6035088528646955,0.3451079244367938,1.6872592197086782,1.8203341036428238,1.1133843646427297,0.48696769054824085,0.26759528603209753,0.6737680590667839,1.2330769203735719,3.035365619932963,13.898576873252846,2.9497532001225744,0.4419082518731938,0.40308187583967675,0.12784298932668714,1.1133843646427297,3.3307244120615223,2.5870722438442337,2.7360645163324375,0.7847978060712121,0.7304631471189666,2.539599114203446,3.6689330790027816,0.4,1.0273787073694451,2.0,0.053,-1.8,-0.2,-1.9,0.0,16.611088858087843,1,29
82,Malik Beasley,15558035,4.2631607783924865,6.244955797756471,4.322947514138835,4.2509781182024815,1.9658404488041925,3.0824287894998474,0.3413459024924797,1.5098519893959559,2.617970780749777,0.31237382546068193,1.0710585971090136,1.6591461440755093,0.40666180078039416,0.4321388663981537,0.48696769054824085,0.6144772743641285,0.5955284961810737,0.3451079244367938,1.571419296723087,1.6872592197086782,0.9822467037532344,0.6144772743641285,0.09599474047211042,0.7847978060712121,0.8871756757156232,3.2055988211238255,14.32540220481388,2.999199667789124,0.4398212110069249,0.5535906334755526,0.06705865202807024,1.1133843646427297,3.1838453744494446,2.4906968549578097,2.66325331416663,0.9822467037532344,0.3451079244367938,2.6780746090892826,3.9397230839438477,-0.2,1.0273787073694451,1.4,0.032,-0.9,-1.0,-2.0,0.0,16.560087847668278,7,37
83,Luguentz Dort,15277778,4.071754351052767,6.07328940298831,6.047663906109832,4.529455542428637,1.9658404488041925,3.10548584739025,0.3360597701595924,1.1133843646427297,2.160996313445664,0.2913663803714447,1.478055616713875,2.3160390089201686,0.37479978959505444,0.39372569597261425,1.4455398754696245,1.6872592197086782,0.5973745306037954,1.0710585971090136,1.5098519893959559,1.9658404488041925,1.2330769203735719,0.7304631471189666,0.26759528603209753,0.8369759806258961,1.6304846272607785,3.3104796473328175,14.585277012952863,3.047253001985074,0.4272254610541959,0.3951696868575137,0.26519260706984427,2.2404287472016287,2.9371634385100625,2.617970780749777,2.778263837051785,1.0273787073694451,0.6737680590667839,2.6780746090892826,3.8437090515615933,0.9,1.2330769203735719,2.9,0.062,-2.0,-1.0,-3.0,-0.6,16.541909977734676,4,49
84,Will Barton,15059712,4.597156711708115,5.559490358416789,1.1943176378757767,3.6772492575954994,1.3782017963726023,2.3525315260846855,0.32922991608591323,0.8369759806258961,1.6012508344814045,0.32006426199565075,0.8871756757156232,1.6304846272607785,0.338328023812284,0.39661200651300793,0.5523173316303605,0.6144772743641285,0.6065650485501761,0.26759528603209753,1.270787630434676,1.3432975971899863,1.1943176378757767,0.41804907437868577,0.18483752645848053,0.6737680590667839,0.7304631471189666,2.4057488218936234,12.105599296016027,2.885846472488202,0.4130799090128079,0.41450168782780705,0.12244312824759507,1.0710585971090136,3.289999390054139,2.5555777652256793,3.475606843815801,0.9355532237698291,0.7847978060712121,3.0233951254356417,3.7742036708830295,-0.4,0.6144772743641285,0.4,0.021,-2.0,-0.6,-2.6,-0.2,16.52753372304952,7,68
85,Tyus Jones,15000000,4.2631607783924865,6.221213632878419,4.003419248109409,4.157060067340014,1.7946539750195776,2.7360645163324375,0.37333195075320896,0.9822467037532344,1.8455813191367303,0.3231270525802034,1.3432975971899863,2.0113991574502705,0.41450168782780705,0.43423872572778394,0.7304631471189666,0.8871756757156232,0.6144772743641285,0.3451079244367938,1.270787630434676,1.3782017963726023,2.0986476546769155,0.7304631471189666,0.09599474047211042,0.6737680590667839,0.3451079244367938,2.9244794533104086,14.087847482241104,3.5304192649587702,0.4502218755347664,0.38865850586295864,0.13321864098409003,0.9822467037532344,2.805814311600189,2.160996313445664,4.426133274613555,1.1943176378757767,0.26759528603209753,2.7360645163324375,3.6772492575954994,3.4,1.3075096101012593,5.7,0.141,1.2,0.3,1.6,1.7,16.52356082573315,2,39
86,Derrick Rose,14520730,4.697012078927853,4.322947514138835,0.0,3.1838453744494446,1.3075096101012593,2.2404287472016287,0.333028940820953,0.5523173316303605,1.3075096101012593,0.26919445502646194,1.0273787073694451,1.7148461932541845,0.37333195075320896,0.3769983020395556,0.3451079244367938,0.3451079244367938,0.6835824383939196,0.26759528603209753,0.8369759806258961,0.9822467037532344,1.0710585971090136,0.26759528603209753,0.18483752645848053,0.6144772743641285,0.5523173316303605,2.1812358949226547,9.308253470184335,2.89882257877432,0.3915565668534633,0.34209922275644716,0.07271435475614109,1.4122683720328608,2.9371634385100625,2.3525315260846855,3.851273208034952,0.7304631471189666,0.9355532237698291,3.10548584739025,4.111602051788699,-0.3,0.26759528603209753,0.0,-0.001,-2.2,-1.5,-3.7,-0.1,16.491087910446307,2,47
87,Kevin Huerter,14508929,4.137710644618417,6.098626104970388,6.098626104970388,4.459351852515735,2.1812358949226547,3.070783383350972,0.40737655518653626,1.4455398754696245,2.4057488218936234,0.346609536120103,1.5098519893959559,1.9887896584596787,0.48964745754237093,0.4889780487821708,0.8871756757156232,1.0710585971090136,0.568142927821492,0.48696769054824085,1.478055616713875,1.6304846272607785,1.5098519893959559,0.7847978060712121,0.26759528603209753,0.8871756757156232,1.3432975971899863,3.45695701645385,14.487234915020263,3.45695701645385,0.4983176469801192,0.47956885806853006,0.14212489836717748,1.270787630434676,2.986972062007028,2.3525315260846855,3.3507394991576054,1.0710585971090136,0.7304631471189666,2.81942104134236,3.851273208034952,3.3,1.0710585971090136,4.9,0.107,1.4,-0.3,1.0,1.7,16.49027487989455,7,61
